Id,Label,timeset,popularity,followers,genres
4uOtIm7Cn3aB0h0r490Q1T,Luis Miguel,,9,438,
4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,,70,1817032,
4mN0qcMxWX8oToqfDPM5yV,José José,,70,1007906,bolero;latin;latin pop
7ot6aWctGX7E4oaBK84RnJ,Boleros,,30,19983,bolero
6xG6oz3V8nZWrwSqpZmPii,Guadalupe Pineda,,43,55430,bolero;mariachi;ranchera
5gOJTI4TusSENizxhcG7jB,David Bisbal,,72,1359177,latin;latin arena pop;latin pop;spanish pop;spanish pop rock;tropical
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez,,74,1453520,latin;latin arena pop;latin pop;mariachi;mexican pop;ranchera;tropical
2QWIScpFDNxmS6ZEMIUvgm,Julieta Venegas,,67,722781,latin;latin alternative;latin pop;latin rock;pop;rock en espanol
1QOmebWGB6FdFtW7Bo3F0W,Gustavo Cerati,,67,1225586,argentine rock;latin alternative;latin rock;rock en espanol
1Db5GsIoVWYktPoD2nnPZZ,Gloria Trevi,,66,867356,latin;latin arena pop;latin pop;mexican pop
2T06whb4s6UiufL1j5Qtz9,José Alfredo Jimenez,,58,407876,bolero;grupera;mariachi;ranchera;regional mexican
3tAICgiSR5PfYY4B8qsoAU,Andrés Calamaro,,66,818659,argentine rock;cantautor;latin alternative;latin rock;rock en espanol
4GUCNKbI77PlkcCe5M4TBo,Exitos,,14,501,
4NEYQeEYBUjfaXgDQGvFvu,Franco De Vita,,66,1217259,latin;latin arena pop;latin pop;rock en espanol;tropical
3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,,60,328587,spanish pop;spanish pop rock
0WC6O2ZzUcDYvcmt2mGh8c,Chavela Vargas,,50,127324,bolero;cantautor;nueva cancion;ranchera;trova
1t7t8q4zoYHp22JLIx3FM7,Joan Manuel Serrat,,57,294671,cantautor;nueva cancion;spanish pop;trova
4LbuSjHhhAddvN44qXpRJo,Amaia Montero,,58,384943,latin;latin arena pop;latin pop;spanish pop;spanish pop rock
1GImnM7WYVp95431ypofy9,Caifanes,,65,1081130,latin alternative;latin rock;mexican rock;nu-cumbia;rock en espanol
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,,81,3037694,colombian pop;latin;pop;reggaeton
4aeIWo5CMF1uRmqgJdwkZW,Joaquín Sabina,,66,883778,cantautor;nueva cancion;rock en espanol;spanish pop;trova
0XK6kT7xcZAlcYrNjOgzJe,Carla Morrison,,71,1038317,latin alternative;mexican pop
2piHiUbXwUNNIvYyIOIUKt,Francisca Valenzuela,,54,165529,chilean indie;chilean rock;latin rock;nueva cancion
